date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:14:22	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1753265911-ssl-df	https://melodious-cactus-a8e350.netlify.app/robots.txt		(from )
19:14:23	171792/171792	---MCZ	200	added ('OK')	text/html	etag:%2221e2dee888d2b9d0ee4e713262b93d96-ssl-df%22	https://melodious-cactus-a8e350.netlify.app/	E:/melodious-site/melodious-cactus-a8e350.netlify.app/index.html	(from )
19:14:24	3073/3073	---M-Z	200	added ('OK')	text/html	etag:%223c4110e3a7a9acfc32ed2ed702838834-ssl-df%22	https://melodious-cactus-a8e350.netlify.app/img/logo/gharpayy_logo2.html	E:/melodious-site/melodious-cactus-a8e350.netlify.app/img/logo/gharpayy_logo2.html	(from https://melodious-cactus-a8e350.netlify.app/)
19:14:25	155758/155758	---MCZ	200	added ('OK')	text/css	etag:%2253e218abe72a95524de9ec3e213582ea-ssl-df%22	https://melodious-cactus-a8e350.netlify.app/css/bootstrap.min.old.css	E:/melodious-site/melodious-cactus-a8e350.netlify.app/css/bootstrap.min.old.css	(from https://melodious-cactus-a8e350.netlify.app/)
19:14:26	21153/21153	---MCZ	200	added ('OK')	text/css	etag:%22e2e18ebee8e331043ab3463286f789d0-ssl-df%22	https://melodious-cactus-a8e350.netlify.app/css/layerslider.css	E:/melodious-site/melodious-cactus-a8e350.netlify.app/css/layerslider.css	(from https://melodious-cactus-a8e350.netlify.app/)
19:14:27	108963/108963	---MCZ	200	added ('OK')	text/css	etag:%22c814ec21651e8010e70cf7c8233a8d9a-ssl-df%22	https://melodious-cactus-a8e350.netlify.app/css/common.css	E:/melodious-site/melodious-cactus-a8e350.netlify.app/css/common.css	(from https://melodious-cactus-a8e350.netlify.app/)
19:14:29	137726/137726	---MCZ	200	added ('OK')	text/css	etag:%2239ee79d7d05bfe71bd01da3445fda7ab-ssl-df%22	https://melodious-cactus-a8e350.netlify.app/css/style_old.css	E:/melodious-site/melodious-cactus-a8e350.netlify.app/css/style_old.css	(from https://melodious-cactus-a8e350.netlify.app/)
19:14:29	1552/1552	---M-Z	200	added ('OK')	text/css	etag:%22ba1c3d2673b2e7ae6c67e0a819826383-ssl-df%22	https://melodious-cactus-a8e350.netlify.app/css/color.css	E:/melodious-site/melodious-cactus-a8e350.netlify.app/css/color.css	(from https://melodious-cactus-a8e350.netlify.app/)
19:14:31	54616/54616	---MCZ	200	added ('OK')	text/css	etag:%227b091a7139fec31d5b48b8fca650c87f-ssl-df%22	https://melodious-cactus-a8e350.netlify.app/css/fontawesome-all-5.2.0.min.css	E:/melodious-site/melodious-cactus-a8e350.netlify.app/css/fontawesome-all-5.2.0.min.css	(from https://melodious-cactus-a8e350.netlify.app/)
19:14:33	1899/1899	---MCZ	200	added ('OK')	text/css	etag:%22ed13aed97d577a46112589a7a71e1052-ssl-df%22	https://melodious-cactus-a8e350.netlify.app/webfonts/flaticon/flaticon.css	E:/melodious-site/melodious-cactus-a8e350.netlify.app/webfonts/flaticon/flaticon.css	(from https://melodious-cactus-a8e350.netlify.app/)
19:14:34	10464/10464	---M--	200	added ('OK')	font/otf	etag:%22bd618269ee95c6762b793bdf0ca94807-ssl%22	https://melodious-cactus-a8e350.netlify.app/larken-font/Larken%20Serif%20Trial/LarkenDEMO-Black.otf	E:/melodious-site/melodious-cactus-a8e350.netlify.app/larken-font/Larken%20Serif%20Trial/LarkenDEMO-Black.otf	(from https://melodious-cactus-a8e350.netlify.app/)
19:14:37	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1753265911-ssl-df	https://melodious-cactus-a8e350.netlify.app/www.googletagmanager.com/ns6a3e.html?id=GTM-WVMFLLG	E:/melodious-site/melodious-cactus-a8e350.netlify.app/www.googletagmanager.com/ns6a3e.96a3e.delayed	(from https://melodious-cactus-a8e350.netlify.app/)
19:14:41	171662/171662	---MCZ	200	added ('OK')	text/html	etag:%22c5beb67fddecb3ad947957eb06728c56-ssl-df%22	https://melodious-cactus-a8e350.netlify.app/index-2	E:/melodious-site/melodious-cactus-a8e350.netlify.app/index-2.html	(from https://melodious-cactus-a8e350.netlify.app/)
19:14:42	4755/4755	---M--	200	added ('OK')	image/png	etag:%22c135ecd8cf2293fde3efd5bbb40fa1d0-ssl%22	https://melodious-cactus-a8e350.netlify.app/img/logo/gharpayy_logo2.png	E:/melodious-site/melodious-cactus-a8e350.netlify.app/img/logo/gharpayy_logo2.png	(from https://melodious-cactus-a8e350.netlify.app/)
19:14:43	19441/19441	---MCZ	200	added ('OK')	text/html	etag:%22cb7c07dd2d9a4fdb335ef713b4089c5c-ssl-df%22	https://melodious-cactus-a8e350.netlify.app/about	E:/melodious-site/melodious-cactus-a8e350.netlify.app/about.html	(from https://melodious-cactus-a8e350.netlify.app/)
